Transaction_ID,Transaction_Amount,Transaction_Volume,Average_Transaction_Amount,Frequency_of_Transactions,Time_Since_Last_Transaction,Day_of_Week,Time_of_Day,Age,Gender,Income,Account_Type,Is_Anomaly,Anomaly_Score
TX0,1024.8357076505615,3,997.2347139765764,12,29,Friday,06:00,36,Male,1436074,Savings,Normal,-0.5137092496461366
TX1,1013.9520646100068,4,1020.2103056961304,7,22,Friday,01:00,41,Female,627069,Savings,Normal,-0.53443863165508
TX2,970.9560932988244,1,989.496603856437,5,12,Tuesday,21:00,61,Male,786232,Savings,Normal,-0.5298583498590508
TX3,1040.8222540475665,2,969.5224800476828,16,28,Sunday,14:00,61,Male,619030,Savings,Normal,-0.5262150386069538
TX4,998.7772411252968,1,1007.1110263424488,7,7,Friday,08:00,56,Female,649457,Savings,Normal,-0.5244967555485313
TX5,969.9873074947044,1,1018.9487964209328,6,20,Thursday,14:00,24,Male,872843,Savings,Normal,-0.5065275004810202
TX6,973.3175598078756,2,999.8894427535976,5,4,Tuesday,07:00,21,Male,1105889,Savings,Normal,-0.5112951383862347
TX7,931.103034808876,4,992.9376669598588,10,29,Sunday,17:00,43,Male,502283,Savings,Normal,-0.5055745029149612
TX8,1036.9233289997703,4,1003.4273656237996,18,23,Thursday,07:00,38,Female,323247,Savings,Normal,-0.5212843385125635
TX9,1013.1743020115103,4,1032.8354223202816,14,25,Thursday,12:00,58,Female,1278732,Current,Normal,-0.5130258246181988
TX10,966.153899984702,4,1012.2335257768174,19,11,Wednesday,16:00,25,Male,313986,Savings,Normal,-0.5446058304966853
TX11,1023.8021293713484,2,1026.0732253679716,11,26,Monday,06:00,26,Female,1379111,Current,Normal,-0.5108464331649295
TX12,955.1832408435348,3,997.7602435898611,11,24,Friday,02:00,61,Female,324538,Savings,Normal,-0.5395132041789479
TX13,897.7788489090043,3,1021.3896177239386,18,3,Monday,04:00,43,Male,923094,Current,Normal,-0.5295957217323375
TX14,998.2086980445024,1,1031.29287311628,19,15,Tuesday,09:00,30,Male,553618,Savings,Normal,-0.5229260400072675
TX15,1004.3523534119086,4,994.0198529906828,17,4,Saturday,04:00,40,Female,1273548,Savings,Normal,-0.5141240969316583
TX16,929.070176849222,1,1003.8067396993032,11,27,Wednesday,21:00,45,Female,343585,Current,Anomaly,-0.5523103090893153
TX17,926.6516057410236,1,1017.8525894301232,10,28,Thursday,11:00,61,Female,325939,Savings,Normal,-0.537983414170228
TX18,1004.853877467402,2,1019.3728998106578,11,28,Monday,06:00,50,Female,985440,Savings,Normal,-0.5014199339106196
TX19,980.394592343392,4,970.7297010373576,17,9,Wednesday,06:00,23,Female,321959,Savings,Normal,-0.5440596967572254
TX20,934.5024656393764,1,1058.8732683296255,7,10,Thursday,23:00,32,Female,361087,Current,Anomaly,-0.5610164756531086
TX21,1094.3092950605264,1,1003.4915562566368,18,17,Tuesday,19:00,29,Male,365318,Savings,Normal,-0.5254201694040154
TX22,904.061439235048,1,999.4697224910155,12,17,Wednesday,16:00,19,Male,1320545,Savings,Normal,-0.5294361482267109
TX23,977.9116988386994,4,998.3166982963764,5,1,Wednesday,01:00,61,Female,425657,Savings,Anomaly,-0.5957522916306127
TX24,1057.141140725751,3,1015.0386606537356,5,6,Friday,19:00,51,Male,1283237,Savings,Normal,-0.5248490884562095
TX25,1060.9025218878255,4,992.2108395139304,5,9,Thursday,05:00,33,Female,1364284,Current,Normal,-0.5287834291236633
TX26,979.1771818224312,4,1017.1500650317622,7,26,Wednesday,18:00,37,Female,958271,Current,Normal,-0.5121001386318365
TX27,1021.4006420494712,4,950.606022698648,5,11,Thursday,17:00,40,Male,854594,Current,Normal,-0.5363696843432492
TX28,968.7191852383534,4,989.5507704093484,13,20,Thursday,16:00,19,Female,986976,Savings,Normal,-0.48221774123075933
TX29,1012.9941397124212,1,1015.6364574355462,13,3,Wednesday,15:00,33,Female,890978,Savings,Normal,-0.5007600037590538
TX30,985.7255349506836,1,1021.305849376919,12,20,Wednesday,16:00,25,Male,1091971,Savings,Normal,-0.49962648305454743
TX31,1011.3144134749438,3,1016.9480286515328,18,25,Wednesday,17:00,63,Male,1426081,Current,Normal,-0.5475316249907402
TX32,1052.4673696160432,1,1026.502113230284,8,1,Thursday,00:00,31,Female,1177844,Current,Normal,-0.5423591307581911
TX33,976.8736569899124,4,977.7500529134112,11,3,Monday,00:00,29,Male,407450,Current,Normal,-0.5352291430883511
TX34,931.5064471641851,2,984.5643850101349,18,6,Saturday,12:00,25,Male,1499386,Savings,Normal,-0.5236271006524453
TX35,903.18118950077,1,983.0528494377472,16,15,Monday,04:00,36,Male,1274339,Current,Normal,-0.5138849455245522
TX36,1002.0990032235012,1,997.2545636580436,16,28,Saturday,13:00,23,Female,478274,Current,Normal,-0.5131237248792335
TX37,1030.3064681549542,3,961.115408125008,7,28,Monday,19:00,38,Male,568246,Savings,Normal,-0.5321791404715587
TX38,994.4398000094866,2,965.0186113165678,13,10,Sunday,21:00,20,Female,1317703,Savings,Normal,-0.5153455103491309
TX39,942.61400135875,3,1027.7920565629315,15,10,Tuesday,16:00,57,Female,1323904,Current,Normal,-0.505783928955393
TX40,1020.93197345863,3,985.4364150127332,17,10,Sunday,02:00,42,Female,1097079,Savings,Normal,-0.4966439852524755
TX41,1001.1965907232918,1,1017.438279776248,8,13,Thursday,00:00,25,Female,748982,Savings,Normal,-0.5279986271735332
TX42,1003.4175625551916,4,991.8118233885688,11,22,Wednesday,21:00,39,Male,1379600,Current,Normal,-0.5042502373124407
TX43,955.3439863185388,1,993.3036550521052,12,21,Thursday,11:00,61,Female,1304646,Current,Normal,-0.4882316603059733
TX44,1119.451797869623,3,1036.8682751664107,12,20,Friday,17:00,59,Female,1170045,Savings,Normal,-0.5449194089515097
TX45,994.6402762419438,3,990.2756542849376,16,26,Sunday,04:00,43,Male,1356884,Current,Normal,-0.48266588240032954
TX46,993.2141308840884,4,984.1298996465478,9,1,Tuesday,00:00,64,Male,1343233,Savings,Anomaly,-0.5848619434270692
TX47,984.0322461092612,1,995.9076698904482,12,13,Friday,00:00,33,Male,706716,Savings,Normal,-0.5194939918134509
TX48,1018.8648132730204,2,1033.0270197295897,17,23,Wednesday,11:00,43,Male,367215,Current,Normal,-0.5196093495371685
TX49,965.9997832941028,3,994.7318831026546,5,14,Saturday,19:00,22,Male,526507,Current,Normal,-0.5078233254301832
TX50,972.5373546317848,2,1021.935925088828,18,5,Sunday,09:00,22,Female,950419,Current,Normal,-0.50679186585352
TX51,1072.0636644533058,2,971.2827569764112,5,24,Friday,12:00,21,Female,851951,Savings,Normal,-0.5401531698918415
TX52,1009.9529847786736,1,987.995662456824,16,27,Thursday,23:00,29,Male,836226,Current,Normal,-0.5278833020251351
TX53,969.2433161114336,3,1042.2263528323251,15,5,Thursday,02:00,18,Female,1386880,Savings,Normal,-0.5439592733211422
TX54,942.75257399643,1,1011.8263223385596,17,12,Sunday,13:00,19,Female,1179090,Current,Normal,-0.5071363204935436
TX55,922.8137298654052,2,1022.3378688040336,12,29,Tuesday,09:00,43,Male,365953,Current,Normal,-0.5143627169775316
TX56,998.5789271200466,2,965.6715110811206,9,18,Friday,10:00,46,Male,831831,Current,Normal,-0.49704729939451864
TX57,1040.643105941948,1,1012.5925768384724,8,10,Friday,08:00,41,Male,1133727,Savings,Normal,-0.49574738294492315
TX58,1080.541015469625,4,1010.5592085405294,6,17,Sunday,23:00,40,Female,700573,Savings,Normal,-0.5124808081150681
TX59,2769.890232195161,3,1007.2613920667462,17,23,Monday,02:00,58,Male,1198320,Current,Anomaly,-0.5910059650543528
TX60,983.7013429509256,1,1065.079702521752,10,13,Wednesday,18:00,53,Male,709995,Savings,Normal,-0.5363689340896391
